id,name,japanese_name,calories
0,__background__,背景,0
1,Chaudin,ショーダン,400
2,Bambalouni,バンバローニ,200
3,Ghoriba,ゴリバ,150
4,Mango sticky rice,マンゴーもち米,350
5,Jianbing,ジャンビン,300
6,Aguachile,アグアチレ,150
7,Carrozza,カロッツァ,250
8,Miyan kuka,ミヤン・クカ,300
9,Efo riro,エフォ・リロ,250
10,Ayam masak merah,アヤム・マサック・メラ,400
11,Chiffon pie,シフォンパイ,400
12,/g/11b8_rxx4d,不明,0
13,Riso patate e cozze,リゾ・パターテ・エ・コッツェ,450
14,Bazin,バジン,300
15,Black bottom pie,ブラックボトムパイ,400
16,Palóc soup,パローツ・スープ,250
17,Sailor sandwich,セーラーサンドイッチ,350
18,Tuwo shinkafa,トゥウォ・シンカファ,300
19,Carne a la tampiqueña,カルネ・ア・ラ・タンピケーニャ,500
20,Pastel azteca,パステル・アステカ,450
21,Fujian red wine chicken,福建赤ワイン鶏,400
22,Boeber,ボーベル,300
23,Lady Baltimore cake,レディ・ボルチモア・ケーキ,400
24,Yam khai dao,ヤム・カイ・ダオ,250
25,Texas Tommy,テキサス・トミー,400
26,Har cheong gai,ハー・チョン・ガイ,300
27,Kolokythopita,コロキトピタ,350
28,Karydopita,カリドピタ,400
29,Rinflajš,リンフライシュ,400
30,Hainanese curry rice,海南カレーライス,450
31,Sonoran hot dog,ソノラン・ホットドッグ,400
32,/g/11cfty6q3,不明,0
33,Afghani burger,アフガニ・バーガー,400
34,Teochew porridge,潮州粥,200
35,Minestra di ceci,ミネストラ・ディ・チェチ,300
36,Pastrami on rye,パストラミ・オン・ライ,400
37,Roast beef sandwich,ローストビーフサンドイッチ,400
38,Chahan,チャーハン,350
39,Ekuru,エクル,250
40,Sciusceddu,シューシェッドゥ,300
41,Breakfast burrito,朝食ブリトー,450
42,/g/11dyjj24g,不明,0
43,Sausage Stroganoff,ソーセージ・ストロガノフ,450
44,Roti jala,ロティ・ジャラ,200
45,Pirao,ピラオ,300
46,Casatiello,カサティエッロ,350
47,Khanom tan,カノム・タン,200
48,Muamba chicken,ムアンバ・チキン,400
49,Dobradinha,ドブラジーニャ,400
50,Bruckfleisch,ブルックフライシュ,400
51,Molote,モロテ,250
52,Spongata,スポンガータ,350
53,Funge,フンゲ,300
